   2, (E2)5685[LED2], (A8)5725[LED3], (B4)5790[LED6], (F5)5820[LED6], 88, -708, KEEP, 
   9, (E2)5685[LED2], (E1)5705[LED2], (F3)5780[LED4], (F5)5820[LED6], 78, -328, KEEP, 
  10, (E2)5685[LED2], (E1)5705[LED2], (A5)5785[LED4], (F5)5820[LED6], 78, -538, KEEP, 
  11, (E2)5685[LED2], (A8)5725[LED3], (F4)5800[LED6], (F5)5820[LED6], 78, -328, KEEP, 
  13, (E2)5685[LED2], (E1)5705[LED2], (B3)5771[LED4], (A4)5805[LED6], 77, -591, KEEP, 
  15, (E2)5685[LED2], (E1)5705[LED2], (B3)5771[LED4], (R5)5806[LED6], 76, -544, KEEP, 
  16, (R2)5695[LED2], (R3)5732[LED3], (F4)5800[LED6], (F5)5820[LED6], 76, -453, KEEP, 
  17, (E2)5685[LED2], (E1)5705[LED2], (B4)5790[LED6], (F5)5820[LED6], 75, -825, KEEP, 
  18, (R2)5695[LED2], (A8)5725[LED3], (F4)5800[LED6], (F5)5820[LED6], 75, -825, KEEP, 
  19, (E1)5705[LED2], (A8)5725[LED3], (B4)5790[LED6], (F5)5820[LED6], 75, -825, KEEP, 
  23, (R2)5695[LED2], (A8)5725[LED3], (A5)5785[LED4], (A4)5805[LED6], 74, -826, KEEP LED safe, 
  25, (R2)5695[LED2], (B1)5733[LED3], (F4)5800[LED6], (F5)5820[LED6], 74, -419, KEEP, 
  26, (E2)5685[LED2], (E1)5705[LED2], (B3)5771[LED4], (B5)5809[LED6], 73, -424, KEEP, 
  28, (R2)5695[LED2], (A8)5725[LED3], (B4)5790[LED6], (B5)5809[LED6], 72, -788, KEEP, 
  37, (E1)5705[LED2], (A8)5725[LED3], (A5)5785[LED4], (F5)5820[LED6], 68, -578, KEEP LED safe, 
  39, (E1)5705[LED2], (F1)5740[LED3], (F4)5800[LED6], (F5)5820[LED6], 68, -578, KEEP, 
  42, (R2)5695[LED2], (A8)5725[LED3], (F3)5780[LED4], (F4)5800[LED6], 66, -856, KEEP LED safe, 
  46, (E2)5685[LED2], (A8)5725[LED3], (A5)5785[LED4], (B5)5809[LED6], 65, -508, KEEP LED safe, 
  50, (E2)5685[LED2], (A8)5725[LED3], (B4)5790[LED6], (B5)5809[LED6], 64, -390, KEEP, 
  52, (R2)5695[LED2], (A8)5725[LED3], (B4)5790[LED6], (R5)5806[LED6], 61, -699, KEEP, 
  53, (E2)5685[LED2], (A8)5725[LED3], (A4)5805[LED6], (F5)5820[LED6], 60, -480, KEEP, 
  54, (R2)5695[LED2], (R3)5732[LED3], (A4)5805[LED6], (F5)5820[LED6], 60, -521, KEEP, 
  55, (R2)5695[LED2], (B1)5733[LED3], (A4)5805[LED6], (F5)5820[LED6], 60, -507, KEEP, 
  58, (E2)5685[LED2], (A8)5725[LED3], (A5)5785[LED4], (R5)5806[LED6], 58, -434, KEEP LED safe, 
  59, (E2)5685[LED2], (R3)5732[LED3], (F4)5800[LED6], (F5)5820[LED6], 58, -309, KEEP, 
  60, (R2)5695[LED2], (A8)5725[LED3], (B4)5790[LED6], (A4)5805[LED6], 58, -678, KEEP, 
  61, (R2)5695[LED2], (A8)5725[LED3], (A4)5805[LED6], (F5)5820[LED6], 58, -678, KEEP, 
  64, (E1)5705[LED2], (F1)5740[LED3], (A4)5805[LED6], (F5)5820[LED6], 58, -565, KEEP, 
  65, (E1)5705[LED2], (R3)5732[LED3], (B4)5790[LED6], (R5)5806[LED6], 57, -890, KEEP, 
  66, (E1)5705[LED2], (B1)5733[LED3], (B4)5790[LED6], (R5)5806[LED6], 57, -824, KEEP, 
  67, (E2)5685[LED2], (A8)5725[LED3], (R5)5806[LED6], (F5)5820[LED6], 56, -522, KEEP, 
  68, (R2)5695[LED2], (A8)5725[LED3], (A5)5785[LED4], (F4)5800[LED6], 56, -679, KEEP LED safe, 
  69, (R2)5695[LED2], (R3)5732[LED3], (R5)5806[LED6], (F5)5820[LED6], 56, -560, KEEP, 
  70, (R2)5695[LED2], (B1)5733[LED3], (R5)5806[LED6], (F5)5820[LED6], 56, -546, KEEP, 
  75, (E2)5685[LED2], (A8)5725[LED3], (A5)5785[LED4], (A4)5805[LED6], 55, -418, KEEP LED safe, 
  76, (R2)5695[LED2], (R3)5732[LED3], (B4)5790[LED6], (B5)5809[LED6], 55, -504, KEEP, 
  80, (E1)5705[LED2], (B1)5733[LED3], (A4)5805[LED6], (F5)5820[LED6], 55, -795, KEEP, 
  82, (E2)5685[LED2], (A8)5725[LED3], (B4)5790[LED6], (R5)5806[LED6], 54, -482, KEEP, 
  84, (E1)5705[LED2], (R3)5732[LED3], (A4)5805[LED6], (F5)5820[LED6], 54, -860, KEEP, 
  85, (E1)5705[LED2], (F1)5740[LED3], (R5)5806[LED6], (F5)5820[LED6], 54, -597, KEEP, 
  86, (R2)5695[LED2], (A8)5725[LED3], (R5)5806[LED6], (F5)5820[LED6], 53, -707, KEEP, 
  87, (E1)5705[LED2], (R3)5732[LED3], (B4)5790[LED6], (A4)5805[LED6], 53, -860, KEEP, 
  89, (E1)5705[LED2], (B1)5733[LED3], (B4)5790[LED6], (A4)5805[LED6], 53, -797, KEEP, 
  92, (E2)5685[LED2], (R3)5732[LED3], (A4)5805[LED6], (F5)5820[LED6], 52, -458, KEEP, 
  93, (E2)5685[LED2], (B1)5733[LED3], (F4)5800[LED6], (F5)5820[LED6], 52, -324, KEEP, 
  97, (E1)5705[LED2], (B1)5733[LED3], (R5)5806[LED6], (F5)5820[LED6], 51, -772, KEEP, 
  98, (E2)5685[LED2], (A8)5725[LED3], (F3)5780[LED4], (R5)5806[LED6], 50, -648, KEEP LED safe, 
  99, (E2)5685[LED2], (A8)5725[LED3], (F3)5780[LED4], (B5)5809[LED6], 50, -796, KEEP LED safe, 
 100, (E2)5685[LED2], (A8)5725[LED3], (B4)5790[LED6], (A4)5805[LED6], 50, -520, KEEP, 
 101, (E2)5685[LED2], (R3)5732[LED3], (R5)5806[LED6], (F5)5820[LED6], 50, -501, KEEP, 
 102, (R2)5695[LED2], (R3)5732[LED3], (A5)5785[LED4], (B5)5809[LED6], 50, -712, KEEP LED safe, 
 104, (E1)5705[LED2], (R3)5732[LED3], (R5)5806[LED6], (F5)5820[LED6], 50, -834, KEEP, 
 107, (E2)5685[LED2], (A8)5725[LED3], (F3)5780[LED4], (A4)5805[LED6], 49, -611, KEEP LED safe, 
 108, (R2)5695[LED2], (A8)5725[LED3], (F3)5780[LED4], (F5)5820[LED6], 49, -859, KEEP LED safe, 
 109, (R2)5695[LED2], (B1)5733[LED3], (B4)5790[LED6], (B5)5809[LED6], 49, -489, KEEP, 
 110, (E1)5705[LED2], (R3)5732[LED3], (A5)5785[LED4], (F4)5800[LED6], 49, -870, KEEP LED safe, 
 111, (A8)5725[LED3], (B2)5752[LED4], (A4)5805[LED6], (F5)5820[LED6], 49, -870, KEEP, 
